 ***** DATA CARD NO.  5   RP   0   181 1  1003 0 0  1.0  0.0                                                 - - - RADIATION PATTERNS - - -

  - - ANGLES - -           - POWER GAINS -       - - - POLARIZATION - - -    - - - E(THETA) - - -    - - - E(PHI) - - -
  THETA     PHI        VERT.   HOR.    TOTAL      AXIAL     TILT   SENSE     MAGNITUDE    PHASE      MAGNITUDE    PHASE 
 DEGREES  DEGREES       DB      DB      DB        RATIO     DEG.              VOLTS/M    DEGREES      VOLTS/M    DEGREES
   47.00     0.00     -84.59 -999.00  -84.59    0.00000     0.00 LHCP       5.89332e-05    90.48    0.00000e+00     0.00
   48.00     0.00     -84.45 -999.00  -84.45    0.00000     0.00 LHCP       5.98850e-05    90.44    0.00000e+00     0.00
   49.00     0.00     -84.32 -999.00  -84.32    0.00000     0.00 LHCP       6.08164e-05    90.40    0.00000e+00     0.00
   50.00     0.00     -84.19 -999.00  -84.19    0.00000     0.00 LHCP       6.17269e-05    90.36    0.00000e+00     0.00
   51.00     0.00     -84.07 -999.00  -84.07    0.00000     0.00 LHCP       6.26162e-05    90.32    0.00000e+00     0.00
   52.00     0.00     -83.95 -999.00  -83.95    0.00000     0.00 LHCP       6.34838e-05    90.28    0.00000e+00     0.00
   53.00     0.00     -83.83 -999.00  -83.83    0.00000     0.00 LHCP       6.43294e-05    90.24    0.00000e+00     0.00
   54.00     0.00     -83.72 -999.00  -83.72    0.00000     0.00 LHCP       6.51527e-05    90.20    0.00000e+00     0.00
   55.00     0.00     -83.62 -999.00  -83.62    0.00000     0.00 LHCP       6.59532e-05    90.17    0.00000e+00     0.00
   56.00     0.00     -83.51 -999.00  -83.51    0.00000     0.00 LHCP       6.67307e-05    90.13    0.00000e+00     0.00
   57.00     0.00     -83.42 -999.00  -83.42    0.00000     0.00 LHCP       6.74850e-05    90.10    0.00000e+00     0.00
   58.00     0.00     -83.32 -999.00  -83.32    0.00000     0.00 LHCP       6.82158e-05    90.07    0.00000e+00     0.00
   59.00     0.00     -83.23 -999.00  -83.23    0.00000     0.00 LHCP       6.89229e-05    90.04    0.00000e+00     0.00
   60.00     0.00     -83.15 -999.00  -83.15    0.00000     0.00 LHCP       6.96061e-05    90.01    0.00000e+00     0.00
   61.00     0.00     -83.07 -999.00  -83.07    0.00000     0.00 LHCP       7.02653e-05    89.98    0.00000e+00     0.00
   62.00     0.00     -82.99 -999.00  -82.99    0.00000     0.00 LHCP       7.09004e-05    89.96    0.00000e+00     0.00
   63.00     0.00     -82.91 -999.00  -82.91    0.00000     0.00 LHCP       7.15112e-05    89.94    0.00000e+00     0.00
   64.00     0.00     -82.84 -999.00  -82.84    0.00000     0.00 LHCP       7.20979e-05    89.92    0.00000e+00     0.00
   65.00     0.00     -82.77 -999.00  -82.77    0.00000     0.00 LHCP       7.26603e-05    89.90    0.00000e+00     0.00
   66.00     0.00     -82.71 -999.00  -82.71    0.00000     0.00 LHCP       7.31985e-05    89.89    0.00000e+00     0.00
   67.00     0.00     -82.65 -999.00  -82.65    0.00000     0.00 LHCP       7.37125e-05    89.88    0.00000e+00     0.00
   68.00     0.00     -82.59 -999.00  -82.59    0.00000     0.00 LHCP       7.42025e-05    89.87    0.00000e+00     0.00
   69.00     0.00     -82.54 -999.00  -82.54    0.00000     0.00 LHCP       7.46684e-05    89.87    0.00000e+00     0.00
   70.00     0.00     -82.49 -999.00  -82.49    0.00000     0.00 LHCP       7.51106e-05    89.87    0.00000e+00     0.00
   71.00     0.00     -82.44 -999.00  -82.44    0.00000     0.00 LHCP       7.55291e-05    89.87    0.00000e+00     0.00
   72.00     0.00     -82.39 -999.00  -82.39    0.00000     0.00 LHCP       7.59241e-05    89.88    0.00000e+00     0.00
   73.00     0.00     -82.35 -999.00  -82.35    0.00000     0.00 LHCP       7.62959e-05    89.89    0.00000e+00     0.00
   74.00     0.00     -82.31 -999.00  -82.31    0.00000     0.00 LHCP       7.66446e-05    89.91    0.00000e+00     0.00
   75.00     0.00     -82.27 -999.00  -82.27    0.00000     0.00 LHCP       7.69705e-05    89.93    0.00000e+00     0.00
   76.00     0.00     -82.24 -999.00  -82.24    0.00000     0.00 LHCP       7.72737e-05    89.95    0.00000e+00     0.00
   77.00     0.00     -82.21 -999.00  -82.21    0.00000     0.00 LHCP       7.75546e-05    89.99    0.00000e+00     0.00
   78.00     0.00     -82.18 -999.00  -82.18    0.00000     0.00 LHCP       7.78134e-05    90.02    0.00000e+00     0.00
   79.00     0.00     -82.15 -999.00  -82.15    0.00000     0.00 LHCP       7.80504e-05    90.07    0.00000e+00     0.00
   80.00     0.00     -82.13 -999.00  -82.13    0.00000     0.00 LHCP       7.82656e-05    90.12    0.00000e+00     0.00
   81.00     0.00     -82.11 -999.00  -82.11    0.00000     0.00 LHCP       7.84595e-05    90.18    0.00000e+00     0.00
   82.00     0.00     -82.09 -999.00  -82.09    0.00000     0.00 LHCP       7.86320e-05    90.26    0.00000e+00     0.00
   83.00     0.00     -82.07 -999.00  -82.07    0.00000     0.00 LHCP       7.87833e-05    90.35    0.00000e+00     0.00
   84.00     0.00     -82.06 -999.00  -82.06    0.00000     0.00 LHCP       7.89135e-05    90.47    0.00000e+00     0.00
   85.00     0.00     -82.05 -999.00  -82.05    0.00000     0.00 LHCP       7.90222e-05    90.63    0.00000e+00     0.00
   86.00     0.00     -82.04 -999.00  -82.04    0.00000     0.00 LHCP       7.91087e-05    90.85    0.00000e+00     0.00
   87.00     0.00     -82.03 -999.00  -82.03    0.00000     0.00 LHCP       7.91703e-05    91.20    0.00000e+00     0.00
   88.00     0.00     -82.03 -999.00  -82.03    0.00000     0.00 LHCP       7.91954e-05    91.87    0.00000e+00     0.00
   89.00     0.00     -82.04 -999.00  -82.04    0.00000     0.00 LHCP       7.90905e-05    93.83    0.00000e+00     0.00
   90.00     0.00    -347.83 -999.00 -347.83    0.00000     0.00 LHCP       4.05944e-18   180.00    0.00000e+00     0.00
   91.00     0.00     -82.04 -999.00  -82.04    0.00000     0.00 LHCP       7.90905e-05    86.17    0.00000e+00     0.00
   92.00     0.00     -82.03 -999.00  -82.03    0.00000     0.00 LHCP       7.91954e-05    88.13    0.00000e+00     0.00
   93.00     0.00     -82.03 -999.00  -82.03    0.00000     0.00 LHCP       7.91703e-05    88.80    0.00000e+00     0.00
   94.00     0.00     -82.04 -999.00  -82.04    0.00000     0.00 LHCP       7.91087e-05    89.15    0.00000e+00     0.00
   95.00     0.00     -82.05 -999.00  -82.05    0.00000     0.00 LHCP       7.90222e-05    89.37    0.00000e+00     0.00
   96.00     0.00     -82.06 -999.00  -82.06    0.00000     0.00 LHCP       7.89135e-05    89.53    0.00000e+00     0.00
   97.00     0.00     -82.07 -999.00  -82.07    0.00000     0.00 LHCP       7.87833e-05    89.65    0.00000e+00     0.00
   98.00     0.00     -82.09 -999.00  -82.09    0.00000     0.00 LHCP       7.86320e-05    89.74    0.00000e+00     0.00
   99.00     0.00     -82.11 -999.00  -82.11    0.00000     0.00 LHCP       7.84595e-05    89.82    0.00000e+00     0.00
  100.00     0.00     -82.13 -999.00  -82.13    0.00000     0.00 LHCP       7.82656e-05    89.88    0.00000e+00     0.00
  101.00     0.00     -82.15 -999.00  -82.15    0.00000     0.00 LHCP       7.80504e-05    89.93    0.00000e+00     0.00
  102.00     0.00     -82.18 -999.00  -82.18    0.00000     0.00 LHCP       7.78134e-05    89.98    0.00000e+00     0.00
